,Track ID,Track Name,Track Popularity,Artist Name,Artist Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2444,0mfHN9LcAPidSI3JCPqYml,Feel Better,65,Penelope Scott,66,0.594,0.335,4,-13.415,0,0.0513,0.747,0.0111,0.0976,0.343,87.49
2445,67K5Ki1bLemeOlN012sip8,No Sense (feat. Key Glock),61,Young Dolph,76,0.945,0.662,6,-6.581,1,0.24,0.0326,1.17e-05,0.124,0.782,124.01
2446,1sOW4PuG5X3Ie3EXUhAopJ,Escape From LA,68,The Weeknd,99,0.404,0.524,5,-8.996,0,0.0593,0.0456,0.00316,0.199,0.168,145.74
2447,3G3OwFCrkc86mMuLPOvgjc,Under My Skin,63,Nate Smith,70,0.604,0.537,8,-6.189,1,0.0346,0.131,0.00025,0.163,0.48,151.757
2448,08dz3ygXyFur6bL7Au8u8J,Over,65,Playboi Carti,85,0.622,0.946,7,-3.593,0,0.0534,0.044,0.00025,0.0838,0.336,130.07
2449,2uVW9s3bC14wp15d3Ma6EO,Ando Más Que Mal,64,Eslabon Armado,81,0.359,0.43,5,-7.69,0,0.0324,0.197,1.64e-05,0.11,0.198,84.762
2450,2Eeur20xVqfUoM3Q7EFPFt,the last great american dynasty,67,Taylor Swift,99,0.686,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922
2451,4SIB2yxKoFOrbkjA4zfQbB,Beautiful Pain (Losin My Mind),64,Polo G,86,0.597,0.477,1,-9.638,0,0.642,0.137,0.00025,0.113,0.512,80.382
2452,127QTOFJsJQp5LbJbu3A1y,Toosie Slide,71,Drake,98,0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618
2453,52BJrldggFQyTiW8XrILhO,In The Party,63,Flo Milli,69,0.919,0.609,9,-5.059,1,0.262,0.0096,0.00025,0.124,0.418,134.992
2454,4bZZVcgWWMWPBwzTTp642w,Filter,73,BTS,93,0.779,0.762,10,-5.188,0,0.0631,0.0224,0.00025,0.121,0.859,110.043
2455,7IMwEtpAiJanqF6vQteZN2,Turks (with Gunna & ft. Travis Scott),64,NAV,78,0.894,0.618,7,-4.356,0,0.129,0.0808,0.00025,0.558,0.379,119.1
2456,6KJqZcs9XDgVck7Lg9QOTC,seven,67,Taylor Swift,99,0.596,0.488,4,-10.769,1,0.0274,0.9,2.7e-05,0.091,0.415,94.926
2457,4F6YLjakjqWFTgC5qfEwPQ,Screw Juice,64,Juice WRLD,92,0.595,0.528,5,-7.371,0,0.0935,0.082,0.00025,0.142,0.515,150.075
2458,14Gl2GHSriLtQxGTri6uio,528 Hz Love & Miracles,64,Miracle Tones,79,0.173,0.0683,1,-28.341,1,0.066,0.93,0.707,0.107,0.0372,139.847
2459,4Hpib09wXgD84w4uwTPnYD,Tap In,64,Saweetie,74,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036
2460,2yySWxfeRN2QRZnFMnYMQl,hole in the bottle,62,Kelsea Ballerini,78,0.478,0.873,4,-3.637,1,0.122,0.0486,0.00025,0.374,0.739,104.365
2461,0lD9X7rCCtgYzdduGOjqkN,432 Hz Miracle Sleep Tone,64,Miracle Tones,79,0.246,0.103,9,-27.18,1,0.0458,0.876,0.941,0.0819,0.0386,132.573
2462,4rHIfYRQw6ittRQXAlurk0,Favorite Mistake,64,Giveon,82,0.535,0.409,7,-9.517,0,0.0855,0.777,0.00025,0.129,0.138,170.123
2463,2EmcTFQ1rM11wp2ztsXTHa,Black Swan,72,BTS,93,0.719,0.757,2,-5.167,0,0.0849,0.137,0.00025,0.129,0.489,147.024
2464,6tzWQCTlrZr1CnwiFGCmoM,La Mejor de Todas,63,Eslabon Armado,81,0.66,0.562,8,-7.593,1,0.0269,0.23,3.6e-05,0.103,0.35,119.877
2465,1Bg2CNZw6S4e9cGWPmi0uI,Place,63,Playboi Carti,85,0.891,0.628,1,-6.35,1,0.105,0.000674,0.00025,0.119,0.04,131.06
2466,7Dx9Z6Aon1qPS2N0rHSWTe,just like magic,67,Ariana Grande,93,0.719,0.607,8,-5.156,1,0.165,0.08,0.00025,0.125,0.464,128.006
2467,6ywiHcxaHBR39gRhud37XK,Young Man's Blues,60,Parker McCollum,71,0.549,0.869,8,-4.817,1,0.0546,0.0139,0.00025,0.334,0.502,114.0
2468,4JnFpb0lxK5Czyd88gnMQw,Gimme a Second,66,Saliva Grey,61,0.66,0.724,1,-6.106,1,0.206,0.0382,0.00025,0.0526,0.219,151.911
2469,2ygvZOXrIeVL4xZmAWJT2C,my future,68,Billie Eilish,90,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745
2470,3xLU29XDzxUllbDjLumKf7,10x Stronger,65,Dominic Fike,75,0.42,0.391,4,-6.45,0,0.0291,0.955,0.641,0.426,0.132,100.021
2471,3jRHehB5ulTMKfK5WaqDqc,What’s New,63,Megan Thee Stallion,81,0.934,0.873,1,-4.707,1,0.309,0.00488,0.00025,0.0832,0.721,139.997
2472,4SCnCPOUOUXUmCX2uHb3r7,Outta Time (feat. Drake),65,Bryson Tiller,82,0.714,0.582,5,-7.272,0,0.0808,0.0129,0.00025,0.0774,0.338,92.819
2473,4YcWzLSnGqLjSCycuSMHnn,Prices,62,Lil Uzi Vert,90,0.786,0.683,7,-5.397,1,0.205,0.173,0.00025,0.706,0.57,126.002
2474,1WThEmIxSyaqG6fVsyCmcL,Pancakes for Dinner,64,Lizzy McAlpine,79,0.753,0.266,11,-11.453,1,0.0478,0.759,0.00025,0.11,0.321,142.026
2475,2FVMbLuIxo0dz3KLXgN6Jh,24,65,Money Man,70,0.842,0.715,2,-6.03,1,0.0912,0.0265,0.0554,0.0831,0.428,126.021
2476,2SVx3uds6jTWALFxevIWMA,I Want It,64,Juice WRLD,92,0.288,0.638,4,-6.935,0,0.0779,0.133,8.16e-05,0.14,0.147,66.424
2477,1Y7AZ3akqDipAyo6mmOQTy,Daechwita,72,Agust D,70,0.65,0.827,8,-4.014,1,0.0599,0.0229,0.00025,0.121,0.223,144.995
2478,4xI3U4sDj1TPmO9Iz5TkYp,4K,67,El Alfa,79,0.925,0.9,3,-4.361,0,0.143,0.355,0.00608,0.124,0.804,120.031
2479,4vvxsS3eN7EGJf1Ejdbmz6,Fuentes de Ortiz,65,La Maquinaria Norteña,72,0.751,0.868,7,-4.544,1,0.0914,0.334,2.75e-05,0.205,0.791,115.374
2480,5AZBBx9tnjEI5q7UyNpgra,Se Quedan Viendo,69,Junior H,90,0.426,0.628,8,-6.087,1,0.035,0.392,3.77e-05,0.115,0.325,175.179
2481,1u3OxJiXoYFdA0Fmd9yURC,Limits,64,Bad Omens,74,0.312,0.968,5,-3.316,1,0.418,0.000305,4.37e-05,0.113,0.3,103.005
2482,4b148u8CHf38OU1yW5Xf1F,El Chino (En Vivo),69,Luis R Conriquez,86,0.657,0.538,1,-5.831,0,0.124,0.637,0.00025,0.104,0.832,111.61
2483,3V1jBnDI3zCn25ONFiqwN8,Ojitos de Miel,70,T3R Elemento,72,0.473,0.448,9,-9.35,1,0.0378,0.709,0.00025,0.104,0.6,189.195
2484,364dI1bYnvamSnBJ8JcNzN,Intentions,69,Justin Bieber,93,0.811,0.553,9,-6.644,1,0.0552,0.317,0.00025,0.105,0.86,148.014
2485,14gkWVFMwdxBMyqBw1wmIg,safety net (feat. Ty Dolla $ign),67,Ariana Grande,93,0.552,0.599,1,-5.75,0,0.0404,0.0703,0.00025,0.0986,0.0916,161.884
2486,5MSshyHGM9ajWSEoBcR0jv,Wurli,64,Dominic Fike,75,0.482,0.837,11,-3.696,1,0.0639,0.385,0.0216,0.132,0.0787,91.968
2487,1sxGIhaxY8eF52e1TlShSP,Pardon Me (Lil Yachty feat. Future & Mike WiLL Made-It),61,Lil Yachty,81,0.887,0.597,6,-6.66,0,0.281,0.0704,0.00025,0.178,0.477,129.976
2488,53v2u51nq3CxiKUNphRzP1,Que Malo,72,Bad Bunny,100,0.802,0.787,7,-6.181,0,0.0599,0.0832,0.00025,0.153,0.446,94.026
2489,2Yv2mHzr5AQavVdwQjEokV,Hand Me Downs,65,Mac Miller,86,0.677,0.33,2,-11.198,1,0.149,0.474,0.000871,0.064,0.336,68.985
2490,7G3h22znCIwaN07Q2s1ukR,Se Fue La Pantera,69,Grupo Recluta,70,0.707,0.764,8,-4.557,1,0.155,0.095,3.88e-06,0.289,0.781,133.558
2491,5JJPfHpByZ66XsEyCNVi2p,Krystal,66,Matt Maltese,71,0.521,0.509,3,-8.059,1,0.0276,0.738,0.784,0.119,0.37,153.563
2492,1WCjhRs2WBgyeGaybCX2Po,Graceland Too,64,Phoebe Bridgers,81,0.448,0.338,10,-10.373,1,0.0296,0.871,0.00025,0.117,0.351,149.552
2493,1sgDyuLooyvEML4oHspNza,Lose Somebody,70,Kygo,82,0.58,0.586,1,-6.883,1,0.0357,0.344,0.00025,0.0755,0.507,147.988
